contrib_score,target_salary
1,12000000.0
1,12000000.0
1,11400000.0
1,10560000.0
1,10420000.0
1,10420000.0
1,10000000.0
1,9830000.0
1,9800000.0
1,9380000.0
1,9380000.0
1,9000000.0
1,9000000.0
0,9000000.0
1,8870000.0
1,8750000.0
1,8750000.0
1,8750000.0
1,8750000.0
1,8540000.0
1,8330000.0
0,8330000.0
1,8330000.0
0,8330000.0
1,8130000.0
0,7560000.0
0,7560000.0
1,7560000.0
1,7560000.0
0,4867200.0
0,4867200.0
1,4867200.0
1,4867200.0
1,7560000.0
0,7290000.0
1,7290000.0
1,7000000.0
1,6900000.0
1,6800000.0
1,6800000.0
1,6670000.0
1,6450000.0
1,6250000.0
1,6000000.0
1,5830000.0
1,5600000.0
1,5600000.0
0,5420000.0
1,5330000.0
1,5300000.0
1,5250000.0
1,5000000.0
1,4790000.0
1,4580000.0
0,4500000.0
0,4400000.0
0,4380000.0
0,4380000.0
0,4280000.0
1,4280000.0
0,4200000.0
0,4200000.0
1,4200000.0
1,4200000.0
0,3954600.0
0,3954600.0
1,3954600.0
1,3954600.0
1,4170000.0
1,4170000.0
1,4170000.0
