Player,Touches,Att Pen,Att,Succ,Carries,TotDist,Mis,Dis,Rec
Ivan Šunjić,478,7,6,0,199,778,7,6,240
Mattias Svanberg,811,59,45,17,431,2119,48,19,483
Dominik Szoboszlai,1908,56,105,53,1134,6004,57,33,1294
Alexander Sørloth,3,3,1,0,1,2,0,0,1
Jonathan Tah,1895,19,9,7,1075,6032,5,10,1269
Edmond Tapsoba,2522,20,25,16,1516,9044,15,12,1668
Niklas Tauer,70,1,0,0,40,205,1,1,47
Mathys Tel,240,37,30,10,164,948,24,11,189
Semir Telalovic,4,0,0,0,3,19,1,1,4
Simon Terodde,505,87,13,2,218,671,43,16,362
Malick Thiaw,171,3,2,1,76,243,0,0,91
Jan Thielmann,373,31,35,19,230,1616,38,12,245
Morten Thorsby,297,23,2,0,115,385,15,15,127
Marcus Thuram,945,175,92,41,603,3764,112,50,717
Steffen Tigges,531,85,23,10,247,1262,32,21,340
Umut Tohumcu,125,1,6,1,59,285,6,2,60
Tiago Tomás,510,55,58,19,322,1677,43,25,382
Almamy Touré,286,5,8,6,152,584,4,0,178
Lucas Tousart,1347,81,53,23,543,3123,48,26,631
Kevin Trapp,957,0,0,0,493,2258,0,0,417
Christopher Trimmel,1190,28,16,8,453,2299,12,8,521
Tuta,2246,27,20,11,1332,6758,27,13,1380
Sven Ulreich,139,0,0,0,97,441,0,0,80
Lauren Ulrich,8,1,0,0,1,16,2,0,3
Dayot Upamecano,2569,18,15,10,1844,9367,19,10,1895
Filip Uremović,882,17,2,2,384,2033,10,4,393
Jere Uronen,447,1,10,1,186,780,12,3,210
Mark Uth,20,3,2,1,8,34,2,0,12
Josha Vagnoman,765,48,35,22,387,2071,34,18,465
Ruben Vargas,518,33,47,21,277,2138,29,10,305
