,player,country_of_origin,team,league,position,age_category
1131,Nicolás González,ESP,Valencia,La Liga,Midfield,young
1132,Nicolás González,ESP,Valencia,La Liga,Midfield,young
1133,Nicolás González,ESP,Valencia,La Liga,Midfield,young
1134,Nicolás González,ARG,Fiorentina,Serie A,Forward,young
1135,Nicolás González,ARG,Fiorentina,Serie A,Forward,young
1136,Nicolás González,ARG,Fiorentina,Serie A,Forward,young
1137,Nicolás González,ARG,Fiorentina,Serie A,Forward,young
1138,Jon Pacheco,ESP,Real Sociedad,La Liga,Defence,young
1139,Aitor Ruibal,ESP,Betis,La Liga,Defence,middle_age
1140,Cenk Özkacar,TUR,Valencia,La Liga,Defence,young
1141,Martín Merquelanz,ESP,Real Sociedad,La Liga,Midfield,middle_age
1142,Mario Suárez,ESP,Rayo Vallecano,La Liga,Midfield,seniors
1143,Dani Gómez,ESP,Espanyol,La Liga,Midfield,young
1144,Clément Grenier,FRA,Mallorca,La Liga,Midfield,middle_age
1145,José Ángel Carmona,Unknown,Elche,La Liga,Defence,young
1146,Jaime Seoane,ESP,Getafe,La Liga,Midfield,young
1147,Gonzalo Melero,ESP,Almería,La Liga,Midfield,middle_age
1148,Kaiky,BRA,Almería,La Liga,Defence,young
1149,Unai López,ESP,Rayo Vallecano,La Liga,Midfield,middle_age
1150,Brian Oliván,ESP,Espanyol,La Liga,Defence,middle_age
1151,Brian Ocampo,Unknown,Cádiz,La Liga,Midfield,young
1152,Luis Pérez,ESP,Valladolid,La Liga,Defence,middle_age
1153,Nicolas Jackson,SEN,Villarreal,La Liga,Forward,young
1154,Domingos Quina,POR,Elche,La Liga,Midfield,young
1155,Santi Comesaña,ESP,Rayo Vallecano,La Liga,Midfield,young
1156,Fernando Calero,ESP,Espanyol,La Liga,Defence,middle_age
1157,Óscar Gil,ESP,Espanyol,La Liga,Defence,young
1158,Youba Diarra,MLI,Cádiz,La Liga,Midfield,young
1159,Óscar Trejo,ARG,Rayo Vallecano,La Liga,Midfield,seniors
1160,Jon Moncayola,ESP,Osasuna,La Liga,Midfield,young
1161,Braian Cufré,ARG,Mallorca,La Liga,Defence,young
1162,Juanjo Nieto,ESP,Almería,La Liga,Defence,middle_age
1163,Diego López,ESP,Rayo Vallecano,La Liga,Goalkeeper,seniors
