Player,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Danny Latza,20,8,853,9.5,0,1,1,0,0,0,2,0,0.9,0.9,0.2,1.1,11,33,15,0,0.11,0.11,0,0.11,0.1,0.02,0.12,0.09,0.12
Diogo Leite,28,26,2254,25,0,1,1,0,0,0,6,1,0.8,0.8,0.4,1.2,19,111,14,0,0.04,0.04,0,0.04,0.03,0.01,0.05,0.03,0.05
Maxim Leitsch,9,7,663,7.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,5,25,1,0,0,0,0,0,0.02,0,0.03,0.02,0.03
Tim Lemperle,12,0,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,1,1.2,1,5,16,0,0,0,0,0,0.08,0.71,0.79,0.08,0.79
Christopher Lenz,24,13,1290,14.3,0,2,2,0,0,0,1,0,0.6,0.6,2.6,3.1,30,63,67,0,0.14,0.14,0,0.14,0.04,0.18,0.22,0.04,0.22
Jamie Leweling,16,0,265,2.9,1,1,2,1,0,0,1,0,0.7,0.7,0.3,0.9,8,4,24,0.34,0.34,0.68,0.34,0.68,0.22,0.09,0.32,0.22,0.32
Philipp Lienhart,29,27,2498,27.8,1,0,1,1,0,0,3,0,1.4,1.4,0.3,1.7,16,79,4,0.04,0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06
Matthijs de Ligt,31,27,2403,26.7,3,1,4,3,0,0,4,0,1.1,1.1,0.5,1.6,17,143,14,0.11,0.04,0.15,0.11,0.15,0.04,0.02,0.06,0.04,0.06
Dimitris Limnios,2,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,0,7,0,0,0,0,0,0.05,0.21,0.26,0.05,0.26
Jesper Lindstrøm,27,22,1679,18.7,7,2,9,7,0,0,2,0,5.9,5.9,2.8,8.8,65,33,136,0.38,0.11,0.48,0.38,0.48,0.32,0.15,0.47,0.32,0.47
Dejan Ljubicic,27,20,1710,19,5,1,6,4,1,1,3,0,3.3,2.6,2.1,4.7,37,65,95,0.26,0.05,0.32,0.21,0.26,0.18,0.11,0.29,0.13,0.24
Anthony Losilla,31,31,2720,30.2,2,2,4,2,0,0,6,1,1.9,1.9,2.2,4.1,13,93,42,0.07,0.07,0.13,0.07,0.13,0.06,0.07,0.14,0.06,0.14
Dodi Lukebakio,32,27,2397,26.6,11,3,14,6,5,5,8,0,8.6,4.7,4.4,9.1,96,42,178,0.41,0.11,0.53,0.23,0.34,0.32,0.16,0.49,0.18,0.34
Andrey Lunyov,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne Maier,30,24,1960,21.8,5,1,6,5,0,0,3,0,1.6,1.6,1.8,3.4,32,66,77,0.23,0.05,0.28,0.23,0.28,0.07,0.08,0.16,0.07,0.16
Linton Maina,33,27,2239,24.9,3,7,10,3,0,0,1,0,4.6,4.6,5.9,10.5,90,61,173,0.12,0.28,0.4,0.12,0.4,0.19,0.24,0.42,0.19,0.42
Donyell Malen,26,22,1706,19,9,6,15,9,0,0,0,0,9.1,9.1,4.4,13.5,87,60,182,0.47,0.32,0.79,0.47,0.79,0.48,0.23,0.71,0.48,0.71
Sadio Mané,25,18,1425,15.8,7,5,12,6,1,2,2,0,8.9,7.2,3.9,11.1,59,43,164,0.44,0.32,0.76,0.38,0.69,0.56,0.25,0.81,0.46,0.7
Myziane Maolida,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,9,0,0,0,0,0,0,0.22,0.22,0,0.22
Omar Marmoush,33,15,1476,16.4,5,1,6,5,0,0,2,0,6.1,6.1,1.2,7.3,36,51,160,0.3,0.06,0.37,0.3,0.37,0.37,0.07,0.44,0.37,0.44
Eric Martel,29,23,2019,22.4,1,1,2,1,0,0,6,0,1.7,1.7,0.8,2.5,17,72,46,0.04,0.04,0.09,0.04,0.09,0.08,0.04,0.11,0.08,0.11
Aarón Martín,28,20,1847,20.5,5,3,8,5,0,1,3,0,2.2,1.4,2.8,4.2,25,86,61,0.24,0.15,0.39,0.24,0.39,0.11,0.14,0.24,0.07,0.2
Erhan Mašović,29,23,2178,24.2,4,0,4,4,0,0,3,0,2.6,2.6,1,3.6,4,60,5,0.17,0,0.17,0.17,0.17,0.11,0.04,0.15,0.11,0.15
Henning Matriciani,22,22,1863,20.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,21,51,10,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Konstantinos Mavropanos,28,26,2286,25.4,2,1,3,2,0,0,9,1,4,4,1.1,5.2,34,120,13,0.08,0.04,0.12,0.08,0.12,0.16,0.05,0.2,0.16,0.2
Philipp Max,10,8,694,7.7,0,1,1,0,0,0,1,0,0.7,0.7,1.6,2.3,14,34,52,0,0.13,0.13,0,0.13,0.09,0.21,0.3,0.09,0.3
Eric Maxim Choupo-Moting,19,14,1112,12.4,10,2,12,10,0,1,0,0,6.1,5.3,1.9,7.3,11,43,77,0.81,0.16,0.97,0.81,0.97,0.49,0.16,0.65,0.43,0.59
